City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,Calabozo,8.9242,-67.4293,76.44,60,94,5.5,VE,2023-01-15 06:41:42
172,Antigonish,45.6169,-61.9986,33.28,95,100,5.01,CA,2023-01-15 06:41:43
173,Hilo,19.7297,-155.09,73.13,80,75,3.44,US,2023-01-15 06:41:43
174,Gamboula,4.1178,15.1393,77.72,25,98,2.82,CF,2023-01-15 06:41:44
175,Laguna,38.421,-121.4238,49.75,94,100,5.75,US,2023-01-15 06:38:46
176,Ancud,-41.8697,-73.8203,46.22,86,25,4.68,CL,2023-01-15 06:41:44
177,Henties Bay,-22.116,14.2845,66.47,78,95,3.89,NA,2023-01-15 06:41:45
178,Dikson,73.5069,80.5464,-35.39,93,21,3.53,RU,2023-01-15 06:41:45
179,Tanout,14.9709,8.8879,56.19,31,5,14.61,NE,2023-01-15 06:41:46
180,Ndjole,-0.1783,10.7649,76.12,91,47,1.45,GA,2023-01-15 06:41:46
181,Tasiilaq,65.6145,-37.6368,23.16,63,100,12.62,GL,2023-01-15 06:42:47
182,Avera,33.194,-82.5271,29.91,73,0,3.33,US,2023-01-15 06:42:47
183,Rio Gallegos,-51.6226,-69.2181,50.05,53,0,11.5,AR,2023-01-15 06:41:37
184,Kaeo,-35.1,173.7833,69.33,69,1,11.43,NZ,2023-01-15 06:42:48
185,Dakar,14.6937,-17.4441,72.48,83,0,2.3,SN,2023-01-15 06:42:48
186,Kropotkin,45.4375,40.5756,35.56,63,4,8.93,RU,2023-01-15 06:42:49
187,Port Hedland,-20.3167,118.5667,93.25,55,75,18.41,AU,2023-01-15 06:42:49
188,Zhumadian,32.9794,114.0294,35.62,46,99,8.23,CN,2023-01-15 06:42:50
189,Hay River,60.8156,-115.7999,3.18,85,75,6.91,CA,2023-01-15 06:42:50
190,Eyl,7.9803,49.8164,80.64,53,98,23.6,SO,2023-01-15 06:42:51
191,Havelock,34.8791,-76.9013,39.18,71,0,16.11,US,2023-01-15 06:42:51
192,Merauke,-8.4667,140.3333,84.24,71,58,10.8,ID,2023-01-15 06:42:52
